"Date","Clicks","Impressions","Avg. CTR"
"1/14/2026 12:00:00 AM","0","0","0"
"1/15/2026 12:00:00 AM","0","0","0"
"1/16/2026 12:00:00 AM","0","0","0"
"1/17/2026 12:00:00 AM","0","0","0"
"1/18/2026 12:00:00 AM","0","0","0"
"1/19/2026 12:00:00 AM","0","0","0"
"1/20/2026 12:00:00 AM","1","4","25"
"1/21/2026 12:00:00 AM","3","12","25"
"1/22/2026 12:00:00 AM","0","9","0"
"1/23/2026 12:00:00 AM","0","9","0"
"1/24/2026 12:00:00 AM","0","1","0"
"1/25/2026 12:00:00 AM","1","3","33.33"
"1/26/2026 12:00:00 AM","0","11","0"
"1/27/2026 12:00:00 AM","0","10","0"
"1/28/2026 12:00:00 AM","0","20","0"
"1/29/2026 12:00:00 AM","1","19","5.26"
"1/30/2026 12:00:00 AM","1","12","8.33"
"1/31/2026 12:00:00 AM","0","2","0"
"2/1/2026 12:00:00 AM","0","12","0"
"2/2/2026 12:00:00 AM","3","31","9.68"
"2/3/2026 12:00:00 AM","1","36","2.78"
"2/4/2026 12:00:00 AM","1","22","4.55"
